id,race_id,driver_id,constructor_id,grid_position,finish_position,position_text,points,laps,status,fastest_lap_time
8561,404,562,77,11,9,9,2.0,69,+1 Lap,1:22.431
8562,404,784,135,8,10,10,1.0,69,+1 Lap,1:21.960
8563,404,421,200,16,11,11,0.0,69,+1 Lap,1:21.631
8564,404,572,170,10,12,12,0.0,69,+1 Lap,1:21.589
8565,404,480,83,15,13,13,0.0,69,+1 Lap,1:22.100
8566,404,735,212,17,14,14,0.0,69,+1 Lap,1:22.830
8567,404,807,172,18,15,15,0.0,68,+2 Laps,1:23.573
8568,404,231,172,20,16,16,0.0,68,+2 Laps,1:21.752
8569,404,373,170,12,17,17,0.0,67,Brakes,1:21.611
8570,404,864,212,19,18,R,0.0,60,Oil leak,1:23.242
8571,404,315,83,14,19,R,0.0,20,Wheel nut,1:24.702
8572,404,638,169,6,20,R,0.0,,Collision,
8573,405,331,140,1,1,1,25.0,44,Finished,1:46.603
8574,405,789,73,2,2,2,18.0,44,Finished,1:46.577
8575,405,638,169,6,3,3,15.0,44,Finished,1:47.549
8576,405,665,73,4,4,4,12.0,44,Finished,1:47.730
8577,405,101,140,3,5,5,10.0,44,Finished,1:47.721
8578,405,373,170,7,6,6,8.0,44,Finished,1:48.922
8579,405,315,83,11,7,7,6.0,44,Finished,1:49.087
8580,405,496,212,16,8,8,4.0,44,Finished,1:49.637
8581,405,562,77,9,9,9,2.0,44,Finished,1:49.721
8582,405,668,200,13,10,10,1.0,44,Finished,1:49.709
8583,405,735,212,15,11,11,0.0,44,Finished,1:50.543
8584,405,421,200,19,12,12,0.0,44,Finished,1:49.708
8585,405,572,170,14,13,13,0.0,44,Finished,1:49.283
8586,405,784,135,20,14,14,0.0,44,Finished,1:49.907
8587,405,480,83,12,15,15,0.0,44,Finished,1:49.126
8588,405,231,172,17,16,16,0.0,44,Finished,1:50.775
8589,405,618,77,8,17,17,0.0,42,Gearbox,1:48.300
8590,405,17,135,10,18,R,0.0,25,Engine,1:51.720
8591,405,788,169,5,19,R,0.0,7,Engine,1:51.022
8592,405,807,172,18,20,R,0.0,2,Collision,
8593,406,331,140,1,1,1,25.0,53,Finished,1:23.488
8594,406,101,140,4,2,2,18.0,53,Finished,1:23.488
8595,406,789,73,6,3,3,15.0,53,Finished,1:23.897
8596,406,638,169,16,4,4,12.0,53,Finished,1:23.361
8597,406,665,73,5,5,5,10.0,53,Finished,1:25.054
8598,406,562,77,3,6,6,8.0,53,Finished,1:25.054
8599,406,735,212,2,7,7,6.0,53,Finished,1:25.625
8600,406,496,212,7,8,8,4.0,53,Finished,1:25.477
8601,406,618,77,10,9,9,2.0,53,Finished,1:24.968
8602,406,788,169,13,10,10,1.0,52,+1 Lap,1:24.351
8603,406,480,83,9,11,11,0.0,52,+1 Lap,1:26.037
8604,406,421,200,8,12,12,0.0,52,+1 Lap,1:25.894
8605,406,373,170,14,13,13,0.0,52,+1 Lap,1:26.131
8606,406,668,200,15,14,14,0.0,52,+1 Lap,1:26.210
8607,406,315,83,20,15,15,0.0,52,+1 Lap,1:25.020
8608,406,807,172,12,16,16,0.0,51,+2 Laps,1:26.547
8609,406,17,135,19,17,17,0.0,50,Gearbox,1:25.871
8610,406,231,172,11,18,18,0.0,49,Gearbox,1:27.663
8611,406,784,135,18,19,R,0.0,33,Engine,1:26.912
8612,406,572,170,17,20,R,0.0,29,Engine,1:25.752
8613,407,331,140,5,1,1,25.0,58,Finished,1:45.008
8614,407,638,169,3,2,2,18.0,58,Finished,1:45.301
8615,407,101,140,6,3,3,15.0,58,Finished,1:45.405
8616,407,668,200,10,4,4,12.0,58,Finished,1:46.537
8617,407,618,77,12,5,5,10.0,58,Finished,1:46.731
8618,407,572,170,11,6,6,8.0,58,Finished,1:46.722
8619,407,784,135,9,7,7,6.0,58,Finished,1:46.722
8620,407,735,212,18,8,8,4.0,58,Finished,1:47.512
8621,407,315,83,15,9,9,2.0,58,Finished,1:47.637
